workers,total_calls,elapsed_seconds,avg_per_call,effective_rpm,errors
1,50,124.99,2.5,24.0,0
2,50,59.6,1.192,50.3,0
4,50,29.98,0.6,100.1,0
6,50,22.43,0.449,133.8,0
8,50,18.15,0.363,165.3,0
10,50,15.38,0.308,195.1,0
12,50,12.94,0.259,231.9,0
16,50,10.59,0.212,283.3,0
